,Date,Tweets
43,2022-02-14 12:54:38+00:00,"Punk 2898 bought for 75 ETH ($215,493.75 USD) by 0x1919db from 0xc0449e. https://t.co/mzT7PprdRO #cryptopunks #ethereum https://t.co/B8hczO7137"
44,2022-02-14 12:43:36+00:00,"A Single CryptoPunk NFT Just Went For A Jaw-Dropping 8000 ETH https://t.co/uflc1m6rHG

Did you also knew that there were V1 punks before CryptoPunks? 

#nft #cryptopunks #Crypto #NFTCommunity #nftcollector"
45,2022-02-14 12:43:04+00:00,"NFTs Have Changed the Art of the Possible
https://t.co/GhxGSZArw5
#auction #CryptoPunks #NFTart #NFTartist #NFTCommunity #NFTs #Prices"
46,2022-02-14 12:34:35+00:00,"Gm/Gn #nftcollectors 👋

Sparkle Punk 815✨
just dropped on the #Ethereum #blockchain ⭐

Collect this 1/1 #NFT now
👉 https://t.co/oN5wHMvtwr

#nftcollectibles #nftart #cryptoartist #nfts #nftartist #nftcommunity #cryptoart #eth #openseaNFT #bitcoin  #cryptopunks #crypto https://t.co/AXkJujgbzH"
47,2022-02-14 12:01:08+00:00,Check out this item on OpenSea https://t.co/t4UVCrmsVd via @opensea  #NFT #cryptopunks
48,2022-02-14 12:00:35+00:00,When someone says 'NFTS are just screenshots' feel free to show them this recent sale... this #cryptopunks sold for over $23 Million  https://t.co/jbUY1z5NCl That's right this punk sold for 8000 #ETH less than 2 days ago 🗣️
49,2022-02-14 11:50:37+00:00,"Hopefully this project is a success and then it becomes one of the best. I am enthusiastic about this  supporting https://t.co/k6iOC2xqAm own NFT sell. 
Superpunks Yacht Club  listed .
@SuperpunksNFTs
https://t.co/Jn0Tze7tEz
#NFT #NFTs #SPYC #FreeMint #cryptopunks #BAYC"
50,2022-02-14 11:21:35+00:00,"Eén #CryptoPunks #NFT is verkocht voor 23,7 miljoen dollar
https://t.co/aNR3JCEmGY"
51,2022-02-14 11:21:29+00:00,"Koleksi #NFT terkemuka, #cryptopunks, kembali meramaikan komunitas Non-Fungible #token di seluruh dunia dengan penjualan terbarunya.

https://t.co/UJUHSb6bSI"
52,2022-02-14 11:13:49+00:00,"Drop alert ! MightyPunks #141 now available on @opensea let's go check out 🚀
Floor price : 0.04 ETH.
Link : https://t.co/YBKgkSm6GF

#NFTCommunity #nftcollector #NFT #nftart #NFTcollectibles #cryptopunks #opensea https://t.co/0oQeKCf4Lu"
53,2022-02-14 11:06:35+00:00,"Punk 9469 bought for 72.5 ETH ($208,388.20 USD) by 0x60e23d from 0x75ceb7. https://t.co/Oq8Bwai1yd #cryptopunks #ethereum https://t.co/Z19YHTXyJH"
54,2022-02-14 10:47:32+00:00,"advice:

follow people that were early...

when there was 0 hype

#nft #cryptopunks #crypto https://t.co/rmiO7QpbSS"
55,2022-02-14 10:33:00+00:00,"Elvira 
 
10th and last #MariachiPunk 
 
She plays lead guitar. She has a dog he goes to her shows his name is ""El Sabio"". 
 
#NFT #NFTs #nftart #NFTCommunity #MariachiPunks #nftcollectors #NFTcollection #NFTcollectibles #cryptopunks
 
https://t.co/HSNlVmgstj https://t.co/oDD8B0fTH0"
56,2022-02-14 10:24:16+00:00,"Internal burnout, how often have you encountered it?

Jolly Ape Yacht Club #631 🍌
https://t.co/waVIs1Vfym

#cryptopunks #JAYC #BoredApeYC #BAYC #MAYC #NFTs #NFT #OpenSea #NFTCommunity https://t.co/YrghPzTwL0"
57,2022-02-14 10:05:38+00:00,"La colección #cryptopunks  #NFTartist  más vendida de todos los tiempos tiene dos versiones en competencia, lo que amenaza con socavar el valor de los #Tokens  y la fe en la industria misma. https://t.co/oZquHGpHXz"
58,2022-02-14 09:40:54+00:00,"Only 1 day left for the sale.

2 #ETH.

Probably nothing.

#opensea #NFT #NFTCommunity #Gold #Punks #cryptopunks #art
https://t.co/zxoyfpPc48"
59,2022-02-14 09:40:52+00:00,Come listen to our @AAPEQueens #AAPE #APEARMY #AAPE #NFT #SpacesHost #cryptopunks https://t.co/G4ZERy04aJ
60,2022-02-14 09:30:00+00:00,"Aliens News:

Punk #5822, one of nine Aliens in the #CryptoPunks NFT collection, has sold for 8,000 $ETH to Deepak Thapliyal.

https://t.co/i1b5nnjA6Y"
61,2022-02-14 09:29:34+00:00,"I found my cousin Punk.

@DOSPunksNFT #591 meet your inspirational cousin, Crypto Punk 9212. #cryptopunks #cryptopunks #DOSPunks #DOSLIFE https://t.co/55u8RzNsIs"
62,2022-02-14 09:25:32+00:00,"Punk 6227 bought for 104.95 ETH ($299,495.81 USD) by 0x2503e9 from 0x1919db. https://t.co/YpsE0BSPZ5 #cryptopunks #ethereum https://t.co/WuvbJg7As5"
63,2022-02-14 08:47:49+00:00,"CryptoPunks Ethereum NFT Sells for Nearly $24M, Doubling Previous Record - Decrypt #cryptopunks #nftart #nfts  https://t.co/gT8MLRvmDg"
64,2022-02-14 08:30:52+00:00,"The buyer has used a loan from lending platform Compound to purchase the token. #nft #cryptopunks
https://t.co/ytYgR9GiUK"
65,2022-02-14 07:43:05+00:00,"NFTS Live | Episode 38 | CryptoPunks Versions | ApeDAO Liquidating BAYC NFTs | NFT Market
https://t.co/jKZ50dmCtp
#CryptoPunks #NFTCommunity #NFTs #Opensea"
66,2022-02-14 07:34:52+00:00,"🔔 A #CryptoPunks #NFT Has Been Sold At A World Record Value Of $24 Million In Ethereum. The NFT was purchased by the Chief Executive Officer of Chain, Deepak Thapliyal.  ! @dt_chain @chain

▶️ Full News: https://t.co/PJyA2YuTwD https://t.co/m0GmPHg7Yi"
67,2022-02-14 07:34:15+00:00,"Superpunks Yacht Club (SPYC) ⛵ listed in @nftcalendar and Verified.

Thanks to the team. 🎉

https://t.co/OX1gzBmmz5

#NFT #NFTs #SPYC #FreeMint #cryptopunks #BAYC"
68,2022-02-14 07:34:01+00:00,"🤯 We're blown away with the NFTs craze! A CryptoPunk purchase that's making news.

👀 @Chain CEO, @dt_chain, bought Punk #5822 for 8000 ETH (~$23 Million)

🔥 Which NFTs do you have in your portfolio?

#CryptoPunks #NFTs #NFTCommunity #NftyPlay https://t.co/7IzR1x5ent"
69,2022-02-14 07:26:52+00:00,"@tribeonedefi @opensea My fav is still OG #cryptopunks 👾
$HAKA #NFT"
70,2022-02-14 07:12:41+00:00,"Bir CryptoPunks #5822 NFT’si 8.000 ETH yani 23,7 milyon dolar değerine satıldı. Yeni satış rakamı, geçen haziran ayındaki 7,8 milyon dolarlık rekorunu yaklaşık 3'e katladı.

#cryptopunks #NFT #kriptohaber #kripto #Ethereum"
71,2022-02-14 06:55:52+00:00,"难道翻盘崛起了 😌

#toadzverse #punks #cryptopunks #cryptopunk #NFT https://t.co/78Uzcb7tkg"
72,2022-02-14 06:34:45+00:00,"#cryptopunksfloorhistory Monday Update:

Larva Labs floor: 72.69Ξ 📈
https://t.co/hSfxyI0xkF

#CryptoPunks #CryptoPunk #NFT $ETH https://t.co/sXeDvqaHjc"
73,2022-02-14 06:25:49+00:00,"Cryptopunk #5822 Sells for 8,000 Ethereum
Read more:
https://t.co/W8wlBYExuc

#NFTs #NFTCommunity #Cryptopunks #Crypto #cryptocurrency #CRYPTOPUNK"
74,2022-02-14 06:09:55+00:00,This #cryptopunks #NFT sale in #ethereum was unbelievable.  https://t.co/hssUes6bE0
75,2022-02-14 05:56:21+00:00,"We reached 0.46 $ETH trade now! 💸🥳💪
We are going to the moon! 🚀
Let's shill NFT frens. 🤟

🔗 https://t.co/kTE7mShfi9 

#NFT #NFTs #NFTshill #nftart #nftcollector #cryptopunks #CryptoPunk #ApeNFT #BoredApeYachtClub #BAYC #TheUniquePunks #ETH #Solana https://t.co/tZIDP6AP1z"
76,2022-02-14 05:32:00+00:00,"Nepomuceno Domínguez
 
8th #MariachiPunk 
 
He's been growing his mustache since puberty. Plays the trumpet with Lalo. He doesn't like to wear pants.
 
#NFT #NFTs #nftart #Cryptoart #NFTCommunity #nftcollectors #NFTcollection #nftcollector #cryptopunks
 
https://t.co/pGjaUcwpF2 https://t.co/q5YcX5VPvv"
77,2022-02-14 05:14:22+00:00,"Can’t afford a Mfers or Crypto Punk, so why not own both combined? @PunkMfers #cryptopunks #mfers https://t.co/kIEVjZ6WT0"
78,2022-02-14 04:44:28+00:00,"you can see my collection of pixel art NFTS at https://t.co/W7gOJOpGON
#NFTGiveaway #NFTCommumity #NFT #cryptopunks #pixelart #PolygonNFT https://t.co/YLMKaNFFDQ"
79,2022-02-14 04:27:16+00:00,"We love our kommunity sers. Here is our first honorary dedicated to @cameronbright 

Sir Kameron is true $KDA familie. Have no fear punks are near! 

Join our discord for more unexpected giveaways: https://t.co/NWpJ7erDMH

#kadena #cryptopunks #nft #art #marmalade #kda https://t.co/V4gFUfRfNd"
80,2022-02-14 04:19:00+00:00,"Adam Punk a digital painting inspired in the #cryptopunks aesthetic.

Every era has portrayed Adam &amp; Eve and so the #Blockchain era.

Adam is related to Earthly and Body affairs.

#NFT #NFTs #Cryptoart #digitalart #nftcollectors #NFTcollectibles

https://t.co/CDAO9sOPE8"
81,2022-02-14 03:14:09+00:00,Damn these guys are everywhere #cryptopunks #bayc https://t.co/5JaeclLZol
82,2022-02-14 03:12:04+00:00,明白人，#cryptopunks 不做事是因为有这个资本，难道古董名画的创作者还要出来为自己的作品炒作吗？98% 的小图片项目都会流动性归零，但 punk 一定有的是人接盘。#NFT https://t.co/4epZrAMcit
83,2022-02-14 03:00:00+00:00,"押忍！

クリプトヤンキーに新しい女性（黒ギャルヤンキー）が転入してきたぞ！

女性のヤンキーは希少性が高いので、さっそく野郎どもに目をつけられている模様だ！

▼＃63
https://t.co/smCISD7IrT

#CryptoPunks  #NFTArt  #NFTJPN #nftcommunity #nftcollectorr #NFTcollectibles #NFT https://t.co/5JOCMGzaih"
84,2022-02-14 02:37:02+00:00,"New bid on Tpunk #9285 for 2K TRX ($126.97)

https://t.co/UTDReMN0ri
#tpunks #cryptopunks #tronpunks #TRON #NFT https://t.co/HgvOeUba2A"
85,2022-02-14 02:14:02+00:00,"Great show by two NFTs Holders Kings @SnoopDogg @Eminem 🔥🔥🔥

#nft #nfts #SuperBowl #BoredApeYC #cryptopunks #SnoopDogg #Eminem https://t.co/7xjFR2Q9GD"
86,2022-02-14 02:02:56+00:00,"Cryptopunk #5822 sold for 8000eth, V3 punk #7190 selling for 0.16eth!! looks like a sweet deal! #cryptopunks #V3Punks #NFTs #whalealert https://t.co/XRDBiDrY7D https://t.co/1T227Ay4xT"
87,2022-02-14 02:00:02+00:00,"Meet the most popular 🎸#PopyPunks in Show World!

https://t.co/bSeu5y4Pym

#cryptopunks #popypunks #7777nft #arpunks #nfts #NFTCommunity #nftcollectors https://t.co/iz4rzEeZdm"
88,2022-02-14 01:50:10+00:00,Nft histórico #nft #cryptopunks #Crypto https://t.co/uvPSvnksM5
89,2022-02-14 01:30:53+00:00,@ArtPunkDegen @ArtPunksNFT @megabartek777 @CryptoBlckParty #cryptopunks the OGs. @ArtPunksNFT are the new wave. Don't miss out ...again 🤷🏽‍♀️ #NFT #Solana #SolanaNFTs #crypto https://t.co/xvqnXYWji4
90,2022-02-14 01:18:00+00:00,"Eve Punk lives in the #Blockchain Garden of Eden with Adam.

#NFT #nftart #NFTartist #NFTCommunity #NFTcollection #digitalart #NFTs #Cryptoart #cryptopunks

https://t.co/dDpgfltDtF"
91,2022-02-14 00:28:33+00:00,"Create instant NFTs
https://t.co/vQIIkyKolj
#NFT #NFTs #NFTart #NFTartists #digitaldrawing #cryptopunks"
92,2022-02-14 00:28:27+00:00,"Create instant NFTs
https://t.co/Wrr40dRcNb
#NFT #NFTs #NFTart #NFTartists #digitaldrawing #cryptopunks"
93,2022-02-14 00:27:07+00:00,"Create instant NFTs
https://t.co/a2S72jX8Fm
#NFT #NFTs #NFTart #NFTartists #digitaldrawing #cryptopunks"
94,2022-02-13 23:58:22+00:00,"😍😍 Aww thank you so much @CryptoMaiali for the personalized #1/1 Edition #PSYCHOMAIALIPUNKS NFT airdrop 🇸🇬🚀🚀

#cro #crofam #cryptocomnft #FFTB #nftart #nft #NFTs #PIGS #CRYPTOMAIALI #CRYPTOPUNKS https://t.co/yckz6Jwv6j"
95,2022-02-13 23:23:14+00:00,"Create instant NFTs Unicorn face Unicorn face https://t.co/a2S72jX8Fm
#NFT #NFTs #NFTart #NFTartists #digitaldrawing #cryptopunks"
96,2022-02-13 23:09:17+00:00,"New bid on Tpunk #6537 for 2 TRX ($0.13)

https://t.co/VUL0ogsKPZ
#tpunks #cryptopunks #tronpunks #TRON #NFT https://t.co/6JPk2reGpJ"
97,2022-02-13 22:46:19+00:00,#cryptopunks #nft sells for $24 million: https://t.co/RJuoD1rDKS #cryptonews
98,2022-02-13 22:31:51+00:00,"Liking my new @anti_cryptopunk 👀 ACP #7845 🎉🍾🦾

Check out roadmap to Antiverse ☯️ 
We going to moon! 🌙🪐💎🤟🏻🚀

 #NewProfilePic #AntiCryptoPunks #ACP #cryptopunks https://t.co/51Me9UuS8p"
99,2022-02-13 22:30:00+00:00,"Aurora #MariachiPunk
 
She is the 6th member to arrive. She plays the harp. She loves Tequila and takes it straight. Her dog's name is Alfredo.
 
#NFT #NFTs #nftart #Cryptoart #digitalart #cryptopunks #opensea #OpenSeaNTF #NFTCommunity #nftcollectors
 
https://t.co/YeOs69sA96 https://t.co/4cW0K7kwBZ"
100,2022-02-13 22:18:29+00:00,"Punks r coming ser! How much do we think KDAnye could auction for? We thinks 8000 $KDA is a good starting bid. 

#kadena #cryptopunks #kda #nfts #art #bullish https://t.co/JXjVTdqTXI"
101,2022-02-13 22:18:00+00:00,"Adam Punk lives in the #Blockchain Garden of Eden.

#NFT #NFTs #nftart #Cryptoart #digitalart #nftcollectors #OpenSeaNFT #digitalpainting #NFTcollection #NFTcollections #cryptopunks

https://t.co/CDAO9sOPE8"
102,2022-02-13 22:07:17+00:00,"#Meebits by @larvalabs is cheap and a niche market collectables just need a bull market to make it mainstream like #Cryptopunks! 

https://t.co/m8q0ErdqUB"
103,2022-02-13 21:54:42+00:00,"The winner of this fast #NFT Giveaway is:

@rossadkin🔥

Check ➡️ https://t.co/nC94nTlypG 🔥Prices X5 after every sale🔥⬅️ 

Congrats 🎉 Lattee Art #1 - Bored Apes transferred to you Now! 

 #BoredApe #CryptoPunks #OpenSeaNFT #openseanfts  🔥 https://t.co/JJz2WSp6j3"
104,2022-02-13 21:45:03+00:00,"#NFTs #cryptopunks #BoredApeYC 
@garyvee r u minting"
105,2022-02-13 21:38:45+00:00,"So wonderful reuniting with 2 of the coolest cats in the space!🥰
Congrats SnowFro on your stellar #ChromieSquiggle show and Matt on your historic Alien #CryptoPunks sale!🥳
Can't imagine a world without the joy+splendor of Punks &amp; Squiggles in it!
@matthall2000 @ArtOnBlockchain https://t.co/EmwmZC3JAu"
106,2022-02-13 21:03:00+00:00,"A new Cryptopunks record has been achieved on Saturday, February 12, 2022, when Deepak Thapliyal purchased Cryptopunk #5822 for 8,000 ETH worth $23.3 million.

Source : https://t.co/MCT6c3PeeP

#mrblock #nft  #nfts ##eth #ethereum #cryptonews #cryptopunks #cryptopunk #mrblock_com https://t.co/b2mSKHMkrO"
107,2022-02-13 20:55:46+00:00,"Could this shopping spree be have been triggered by the #CryptoPunks sale?

If so, it's very interesting to see #Ethereum NFTs having a direct effect on a #SecretNFT collection! (2/2)"
108,2022-02-13 20:55:22+00:00,#cryptopunks #LUNA https://t.co/61fUVahr22
109,2022-02-13 20:53:25+00:00,"i Wouldn’t sell my #mfers for any less than 88 ETH #OnGod @sartoshi_nft 

#mfers #ETH #cryptopunks #BAYC"
110,2022-02-13 20:18:34+00:00,"Excited to join the @PunksOnSolana community with SolPunk_#6959! Fun fact, since I got mine yesterday, another 13 punks have already exchanged hands! 🚀🚀 #solana #NFT #cryptopunks https://t.co/OlB2GSYMCL"
111,2022-02-13 19:51:52+00:00,"Hey, I now have another cryptopunk :) I wonder how much you would be willing to give for it?
https://t.co/SIktqUs7jd
#NFT #NFTs #Nftarts #NFTCommmunity #AirNFTs #CRYPTOPUNK #cryptopunks #нфт #криптопанки https://t.co/7OKHpdFdnV"
112,2022-02-13 19:39:52+00:00,"Punk 6790 bought for 73 ETH ($209,145.00 USD) by 0x1919db from 0x137320. https://t.co/2YPpLqlu8P #cryptopunks #ethereum https://t.co/lUzTZ0nDe0"
113,2022-02-13 19:36:50+00:00,"Punk 7895 bought for 140 ETH ($401,100.00 USD) by 0x51636d from 0x47d4f2. https://t.co/FqY4YnJHhF #cryptopunks #ethereum https://t.co/B47XvqYDFk"
114,2022-02-13 19:36:19+00:00,"Experts have said for this to be the GRAIL of NFT’s: 

#CryptoPunks #PunksV1 #PunksV2 #PunksV3 #PunksTrilogy #NFT https://t.co/dMgqgbD3uZ"
115,2022-02-13 19:31:09+00:00,Check out my NFT listing on OpenSea! https://t.co/M7XUGe4GFu via @opensea #NFTGiveaway #MetaverseNFT #cryptopunks #BoredApeYC #Azuki #cryptonft #NFTs
116,2022-02-13 19:30:25+00:00,"CryptoPunk #5822 Sold for Record-Breaking 8000 ETH, $23.7 Million USD #NFT #NFTs #cryptopunk #cryptopunks #nftart #nftcommunity #nftmagazine #nftnews #nftcollectors #nftmarket #nftproject  https://t.co/5rToc5VZkm"
